epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6657,0.5818,0.1431,0.6240,0.6074,0.7843,1771250679
1,0.6977,0.6498,0.1652,0.7149,0.6074,0.7843,1771250700
2,0.7718,0.7504,0.2330,0.9339,0.5992,0.7843,1771250719
3,0.7616,0.7716,0.2088,0.9959,0.5041,0.7892,1771250740
4,0.7994,0.7816,0.2246,0.9917,0.6074,0.7990,1771250761
5,0.8387,0.8284,0.2464,1.0000,0.6364,0.8873,1771250781
6,0.8997,0.8953,0.2857,1.0000,0.7273,0.9853,1771250802
7,0.8794,0.8802,0.2544,1.0000,0.6777,0.9755,1771250822
8,0.9041,0.9000,0.2487,1.0000,0.7273,1.0000,1771250842
9,0.9142,0.9065,0.2339,1.0000,0.7562,1.0000,1771250864
10,0.9113,0.9057,0.2209,1.0000,0.7479,1.0000,1771250885
11,0.9215,0.9148,0.2186,1.0000,0.7769,1.0000,1771250908
12,0.9186,0.9122,0.2142,1.0000,0.7686,1.0000,1771250929
13,0.9055,0.8995,0.2029,1.0000,0.7314,1.0000,1771250951
14,0.8881,0.8917,0.2222,1.0000,0.6818,1.0000,1771250975
15,0.9172,0.9114,0.2104,1.0000,0.7645,1.0000,1771250997
16,0.9128,0.9102,0.2036,1.0000,0.7521,1.0000,1771251022
17,0.9172,0.9122,0.1977,1.0000,0.7645,1.0000,1771251046
18,0.9084,0.9050,0.1971,1.0000,0.7397,1.0000,1771251069
19,0.9215,0.9159,0.1956,1.0000,0.7769,1.0000,1771251091
20,0.9128,0.9088,0.1904,1.0000,0.7521,1.0000,1771251116
21,0.9084,0.9080,0.1971,1.0000,0.7397,1.0000,1771251139
22,0.9186,0.9141,0.1890,1.0000,0.7686,1.0000,1771251162
23,0.9172,0.9138,0.1892,1.0000,0.7645,1.0000,1771251184
24,0.9113,0.9072,0.1848,1.0000,0.7479,1.0000,1771251209
25,0.9142,0.9121,0.1929,1.0000,0.7562,1.0000,1771251232
26,0.9128,0.9088,0.1845,1.0000,0.7521,1.0000,1771251257
27,0.9128,0.9099,0.1889,1.0000,0.7521,1.0000,1771251280
28,0.9055,0.9067,0.1923,1.0000,0.7314,1.0000,1771251304
29,0.9070,0.9088,0.1939,1.0000,0.7355,1.0000,1771251328
30,0.9128,0.9107,0.1848,1.0000,0.7521,1.0000,1771251353
31,0.9113,0.9088,0.1872,1.0000,0.7479,1.0000,1771251373
32,0.9128,0.9115,0.1853,1.0000,0.7521,1.0000,1771251393
33,0.9172,0.9132,0.1787,1.0000,0.7645,1.0000,1771251413
34,0.9157,0.9142,0.1843,1.0000,0.7603,1.0000,1771251432
35,0.9157,0.9127,0.1820,1.0000,0.7603,1.0000,1771251452
36,0.9172,0.9143,0.1806,1.0000,0.7645,1.0000,1771251470
37,0.9157,0.9124,0.1785,1.0000,0.7603,1.0000,1771251488
38,0.9128,0.9115,0.1842,1.0000,0.7521,1.0000,1771251506
39,0.9157,0.9127,0.1781,1.0000,0.7603,1.0000,1771251525
40,0.9186,0.9167,0.1841,1.0000,0.7686,1.0000,1771251543
41,0.9142,0.9154,0.1869,1.0000,0.7562,1.0000,1771251560
42,0.9128,0.9128,0.1841,1.0000,0.7521,1.0000,1771251579
43,0.9113,0.9091,0.1831,1.0000,0.7479,1.0000,1771251598
44,0.9172,0.9156,0.1824,1.0000,0.7645,1.0000,1771251617
45,0.9128,0.9128,0.1852,1.0000,0.7521,1.0000,1771251637
46,0.9172,0.9151,0.1795,1.0000,0.7645,1.0000,1771251657
47,0.9186,0.9164,0.1827,1.0000,0.7686,1.0000,1771251677
48,0.9142,0.9110,0.1760,1.0000,0.7562,1.0000,1771251697
49,0.9215,0.9194,0.1802,1.0000,0.7769,1.0000,1771251716
50,0.9201,0.9183,0.1824,1.0000,0.7727,1.0000,1771251736
51,0.9157,0.9127,0.1785,1.0000,0.7603,1.0000,1771251755
52,0.9172,0.9151,0.1811,1.0000,0.7645,1.0000,1771251774
53,0.9186,0.9164,0.1780,1.0000,0.7686,1.0000,1771251794
54,0.9157,0.9142,0.1822,1.0000,0.7603,1.0000,1771251813
55,0.9172,0.9153,0.1808,1.0000,0.7645,1.0000,1771251832
56,0.9142,0.9129,0.1814,1.0000,0.7562,1.0000,1771251851
57,0.9157,0.9142,0.1813,1.0000,0.7603,1.0000,1771251870
58,0.9142,0.9129,0.1818,1.0000,0.7562,1.0000,1771251890
59,0.9172,0.9156,0.1809,1.0000,0.7645,1.0000,1771251909
