model,math_ratio,math_pct,best_f1_mean,n_seeds,cooks_d
Qwen2.5-1.5B,0.1616415410385259,16.16415410385259,0.9336283185840708,3,0.002128419932187088
Qwen2.5-1.5B,0.2175076452599388,21.75076452599388,0.91869918699187,3,0.098128055860917
Qwen2.5-1.5B,0.2929765886287625,29.297658862876254,0.90625,3,0.02678501369258605
Qwen2.5-1.5B,0.4067614703514891,40.67614703514891,0.8689839572192514,3,0.940976809922294
Qwen2.5-Coder-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.09462946676397173
Qwen2.5-Coder-1.5B,0.3531478770131772,35.31478770131772,0.9044006069802732,4,3.549207730862095e-05
Qwen2.5-Coder-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.012803200172336085
Qwen2.5-Math-1.5B,0.3521147161066049,35.21147161066049,0.9194029850746268,4,0.09462946676397173
Qwen2.5-Math-1.5B,0.3531478770131772,35.31478770131772,0.9044006069802732,4,3.549207730862095e-05
Qwen2.5-Math-1.5B,0.3555818074424099,35.55818074424099,0.9076682316118936,4,0.005278601795213725
Qwen2.5-Math-1.5B,0.3564312921183709,35.643129211837085,0.9093799682034976,4,0.012803200172336085
