epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6800,0.6364,0.1630,0.6637,0.5789,0.7457,1771130031
1,0.6758,0.6333,0.1474,0.6549,0.5789,0.7457,1771130042
2,0.6821,0.6379,0.1501,0.6637,0.5789,0.7514,1771130054
3,0.7347,0.7149,0.1975,0.7743,0.5789,0.7514,1771130065
4,0.8379,0.8425,0.2898,0.9867,0.5526,0.7688,1771130077
5,0.8716,0.8705,0.3117,0.9912,0.5658,0.8497,1771130088
6,0.8842,0.8861,0.3062,1.0000,0.5658,0.8728,1771130100
7,0.9305,0.9275,0.3303,1.0000,0.5658,1.0000,1771130112
8,0.9368,0.9336,0.3136,1.0000,0.6053,1.0000,1771130123
9,0.9263,0.9241,0.2875,1.0000,0.5526,0.9942,1771130135
10,0.9263,0.9241,0.2786,1.0000,0.5526,0.9942,1771130146
11,0.9221,0.9234,0.2734,1.0000,0.5263,0.9942,1771130158
12,0.9221,0.9218,0.2703,1.0000,0.5263,0.9942,1771130169
13,0.9368,0.9336,0.2658,1.0000,0.6184,0.9942,1771130181
14,0.9242,0.9217,0.2548,1.0000,0.5395,0.9942,1771130192
15,0.9242,0.9217,0.2533,1.0000,0.5395,0.9942,1771130204
16,0.9284,0.9258,0.2481,1.0000,0.5658,0.9942,1771130215
17,0.9263,0.9237,0.2427,1.0000,0.5526,0.9942,1771130227
18,0.9263,0.9237,0.2403,1.0000,0.5526,0.9942,1771130239
19,0.9242,0.9217,0.2397,1.0000,0.5395,0.9942,1771130251
20,0.9221,0.9218,0.2456,1.0000,0.5263,0.9942,1771130263
21,0.9221,0.9208,0.2431,1.0000,0.5263,0.9942,1771130274
22,0.9326,0.9298,0.2342,1.0000,0.5921,0.9942,1771130286
23,0.9116,0.9136,0.2440,1.0000,0.4605,0.9942,1771130297
24,0.9242,0.9221,0.2356,1.0000,0.5395,0.9942,1771130309
25,0.9263,0.9244,0.2350,1.0000,0.5526,0.9942,1771130321
26,0.9242,0.9241,0.2348,1.0000,0.5395,0.9942,1771130333
27,0.9305,0.9281,0.2297,1.0000,0.5789,0.9942,1771130345
28,0.9284,0.9277,0.2330,1.0000,0.5658,0.9942,1771130356
29,0.9263,0.9251,0.2299,1.0000,0.5526,0.9942,1771130368
30,0.9263,0.9257,0.2313,1.0000,0.5526,0.9942,1771130380
31,0.9242,0.9224,0.2281,1.0000,0.5395,0.9942,1771130392
32,0.9242,0.9237,0.2296,1.0000,0.5395,0.9942,1771130404
33,0.9242,0.9224,0.2268,1.0000,0.5395,0.9942,1771130416
34,0.9242,0.9234,0.2275,1.0000,0.5395,0.9942,1771130428
35,0.9200,0.9188,0.2281,1.0000,0.5132,0.9942,1771130440
36,0.9263,0.9244,0.2246,1.0000,0.5526,0.9942,1771130451
37,0.9242,0.9224,0.2249,1.0000,0.5395,0.9942,1771130463
38,0.9263,0.9257,0.2253,1.0000,0.5526,0.9942,1771130474
